,AnimalType,AgeInDays,Breed,Color
0,Dog,365,Shetland Sheepdog Mix,Brown/White
1,Cat,365,Domestic Shorthair Mix,Cream Tabby
2,Dog,730,Pit Bull Mix,Blue/White
3,Cat,21,Domestic Shorthair Mix,Blue Cream
4,Dog,730,Lhasa Apso/Miniature Poodle,Tan
5,Dog,30,Cairn Terrier/Chihuahua Shorthair,Black/Tan
6,Cat,21,Domestic Shorthair Mix,Blue Tabby
7,Cat,21,Domestic Shorthair Mix,Brown Tabby
8,Dog,150,American Pit Bull Terrier Mix,Red/White
9,Dog,365,Cairn Terrier,White
10,Cat,730,Domestic Shorthair Mix,Black
11,Dog,730,Miniature Schnauzer Mix,Silver
12,Dog,1460,Pit Bull Mix,Brown
13,Dog,730,Yorkshire Terrier Mix,Black/Red
14,Dog,365,Great Pyrenees Mix,White/Cream
15,Cat,90,Domestic Shorthair Mix,Orange Tabby/White
16,Cat,21,Domestic Shorthair Mix,Brown Tabby
17,Dog,14,Pit Bull Mix,Brown/White
18,Cat,730,Angora Mix,White
19,Dog,365,Flat Coat Retriever Mix,Black
20,Dog,60,Queensland Heeler Mix,Black/White
21,Cat,365,Domestic Shorthair Mix,White
22,Dog,730,Plott Hound/Boxer,Brown Brindle/White
23,Dog,300,German Shepherd Mix,Brown/White
24,Dog,60,German Shepherd Mix,Black/Brown
25,Cat,30,Domestic Shorthair Mix,Orange Tabby
26,Dog,180,American Staffordshire Terrier Mix,Chocolate/White
27,Dog,1825,Chihuahua Shorthair Mix,White/Tan
28,Cat,60,Domestic Shorthair Mix,Cream Tabby/White
29,Cat,2555,Russian Blue Mix,Blue
30,Cat,1095,Domestic Shorthair Mix,Calico
31,Dog,120,Labrador Retriever Mix,Black/White
32,Cat,60,Domestic Shorthair Mix,Torbie
33,Dog,1825,Collie Smooth/German Shepherd,Brown/Black
34,Dog,1095,Chihuahua Shorthair Mix,Brown
35,Dog,1095,Labrador Retriever Mix,Yellow
36,Dog,1095,Pit Bull Mix,Brown/White
37,Cat,60,Domestic Shorthair Mix,Blue/White
38,Cat,120,Domestic Shorthair Mix,Black/White
39,Cat,21,Domestic Shorthair Mix,Brown Tabby
40,Cat,2555,Domestic Shorthair Mix,Blue Tabby
41,Cat,60,Domestic Shorthair Mix,Orange Tabby
42,Cat,60,Domestic Shorthair Mix,Brown Tabby
43,Cat,1460,Domestic Longhair Mix,Black/White
44,Cat,730,Domestic Shorthair Mix,Black/White
45,Dog,4380,Beagle,Tricolor
46,Cat,3285,Domestic Shorthair Mix,White/Black
47,Cat,21,Domestic Shorthair Mix,Black
48,Dog,150,German Shepherd Mix,Black/Brown
49,Dog,2190,Pit Bull/Labrador Retriever,Chocolate/White
50,Cat,365,Domestic Shorthair Mix,Tortie
51,Cat,90,Domestic Shorthair Mix,Brown Tabby
52,Cat,21,Domestic Shorthair Mix,Blue Tabby/White
53,Dog,730,Blue Lacy Mix,Gray/White
54,Cat,60,Domestic Shorthair Mix,Orange Tabby/White
55,Cat,7,Domestic Shorthair Mix,Black
56,Cat,60,Domestic Shorthair Mix,Calico
57,Dog,365,Chihuahua Shorthair Mix,Tan
58,Dog,1460,Black Mouth Cur Mix,Tan/Black
59,Dog,730,Dachshund/Beagle,Brown/White
60,Cat,365,Domestic Shorthair Mix,Orange Tabby/White
61,Dog,4015,Yorkshire Terrier Mix,Brown/Black
62,Cat,30,Domestic Shorthair Mix,Black
63,Dog,730,Dachshund Mix,Tan/White
64,Cat,14,Domestic Shorthair Mix,Black
65,Dog,2190,Maltese Mix,White
66,Dog,180,Pointer Mix,Black/White
67,Dog,60,English Foxhound,Buff
68,Cat,60,Domestic Shorthair Mix,Brown Tabby/White
69,Dog,365,Chihuahua Shorthair Mix,Red
70,Dog,60,Vizsla Mix,Brown
71,Dog,730,Pit Bull Mix,Brown Brindle/White
72,Dog,1095,German Shepherd/Great Pyrenees,White
73,Cat,365,Domestic Shorthair Mix,Black
74,Dog,1460,Yorkshire Terrier Mix,Blue/Tan
75,Dog,730,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan
76,Cat,90,Domestic Longhair,Brown Tabby
77,Cat,365,Domestic Shorthair Mix,Calico
78,Dog,60,Chow Chow/Pit Bull,Black
79,Cat,730,Domestic Shorthair Mix,Black/White
80,Dog,365,Chihuahua Shorthair,White
81,Cat,14,Domestic Shorthair Mix,Blue Tabby
82,Cat,28,Siamese Mix,Seal Point
83,Cat,730,Domestic Shorthair Mix,Blue Tabby
84,Dog,4380,Pit Bull Mix,Brown Brindle
85,Dog,365,Dachshund/Beagle,Brown/White
86,Cat,60,Domestic Shorthair Mix,Black
87,Cat,14,Domestic Shorthair Mix,Black
88,Dog,90,Labrador Retriever Mix,Black/White
89,Cat,90,Domestic Medium Hair Mix,Calico
90,Dog,150,Plott Hound Mix,Brown Brindle/White
91,Dog,1095,Boxer/Great Dane,Black
92,Dog,2555,Lhasa Apso,White/Black
93,Dog,730,German Shepherd Mix,Black/Tan
94,Cat,120,Domestic Shorthair Mix,Black
95,Dog,3285,Beagle/Treeing Walker Coonhound,White/Brown
96,Dog,210,Border Collie Mix,Black/White
97,Cat,60,Domestic Shorthair Mix,Black/White
98,Cat,1095,Domestic Shorthair Mix,Black/White
99,Dog,1095,Border Terrier Mix,Gray
100,Dog,1825,Chihuahua Shorthair Mix,Tan/White
101,Dog,1825,Boxer Mix,Brown Brindle/White
102,Cat,14,Domestic Medium Hair Mix,Blue
103,Cat,14,Domestic Shorthair Mix,Black
104,Cat,1460,Domestic Shorthair Mix,Torbie
105,Dog,1460,Cairn Terrier Mix,Tan/White
106,Cat,60,Domestic Shorthair Mix,Brown Tabby
107,Dog,730,Chihuahua Shorthair Mix,Black/Tan
108,Dog,730,Dogo Argentino Mix,White
109,Dog,3285,Dachshund Mix,Black/Brown
110,Dog,1825,Beagle Mix,Tricolor
111,Dog,365,Chihuahua Shorthair/Dachshund,Yellow Brindle/White
112,Dog,730,Pit Bull Mix,Fawn/White
113,Cat,21,Domestic Shorthair Mix,Brown Tabby
114,Dog,150,Pit Bull Mix,White/Brown
115,Cat,2190,Domestic Shorthair Mix,Orange Tabby
116,Dog,365,Chihuahua Shorthair Mix,Tan
117,Dog,90,Chihuahua Shorthair Mix,Black/White
118,Cat,30,Domestic Longhair Mix,Calico
119,Dog,1095,Chihuahua Shorthair Mix,Brown
